id,add01,title01,add02,title
8697,"""",Who Am I?,"""","""Who Am I?"""
8698,"""",The League of Extraordinary Gentlemen,"""","""The League of Extraordinary Gentlemen"""
8699,"""",Anchorman: The Legend of Ron Burgundy,"""","""Anchorman: The Legend of Ron Burgundy"""
8740,"""",The Vanishing,"""","""The Vanishing"""
8741,"""",The Thin Red Line,"""","""The Thin Red Line"""
8744,"""",Albino Alligator,"""","""Albino Alligator"""
8748,"""",Eagle vs Shark,"""","""Eagle vs Shark"""
8764,"""",Top Secret!,"""","""Top Secret!"""
8766,"""",Hellraiser: Bloodline,"""","""Hellraiser: Bloodline"""
8769,"""",Christine,"""","""Christine"""
8780,"""",Baby Mama,"""","""Baby Mama"""
8810,"""",Mad Max 2: The Road Warrior,"""","""Mad Max 2: The Road Warrior"""
8814,"""",Doom,"""","""Doom"""
8816,"""",My Life as a Dog,"""","""My Life as a Dog"""
8818,"""",Evita,"""","""Evita"""
8831,"""",Timecop,"""","""Timecop"""
8832,"""",Il Divo,"""","""Il Divo"""
8834,"""",Conspiracy Theory,"""","""Conspiracy Theory"""
8835,"""",Legally Blonde,"""","""Legally Blonde"""
8836,"""",The X Files: I Want to Believe,"""","""The X Files: I Want to Believe"""
8838,"""",Mercury Rising,"""","""Mercury Rising"""
8839,"""",Casper,"""","""Casper"""
8840,"""",DragonHeart,"""","""DragonHeart"""
8841,"""",The Class,"""","""The Class"""
8842,"""",Against the Ropes,"""","""Against the Ropes"""
8843,"""",The Cell,"""","""The Cell"""
8844,"""",Jumanji,"""","""Jumanji"""
8845,"""",Under Siege,"""","""Under Siege"""
8848,"""",The Bank Job,"""","""The Bank Job"""
8849,"""",Alfie,"""","""Alfie"""
8850,"""",The Shadow,"""","""The Shadow"""
8851,"""",The Blob,"""","""The Blob"""
8852,"""",Prince of Darkness,"""","""Prince of Darkness"""
8854,"""",Steel,"""","""Steel"""
8856,"""","The Karate Kid, Part II","""","""The Karate Kid, Part II"""
8859,"""","Dude, Where’s My Car?","""","""Dude, Where’s My Car?"""
8860,"""",Metro,"""","""Metro"""
8866,"""",The Truth About Cats & Dogs,"""","""The Truth About Cats & Dogs"""
8867,"""",The Punisher,"""","""The Punisher"""
8869,"""",Eight Legged Freaks,"""","""Eight Legged Freaks"""
8870,"""",Red Planet,"""","""Red Planet"""
8871,"""",How the Grinch Stole Christmas,"""","""How the Grinch Stole Christmas"""
8872,"""",Wayne's World,"""","""Wayne's World"""
8873,"""",Wayne's World 2,"""","""Wayne's World 2"""
8874,"""",My Best Friend's Wedding,"""","""My Best Friend's Wedding"""
8879,"""",Pale Rider,"""","""Pale Rider"""
8880,"""",Che: Part Two,"""","""Che: Part Two"""
8881,"""",Che: Part One,"""","""Che: Part One"""
8882,"""",Gomorrah,"""","""Gomorrah"""
8885,"""",Waltz with Bashir,"""","""Waltz with Bashir"""
8899,"""",Lorna's Silence,"""","""Lorna's Silence"""
8909,"""",Wanted,"""","""Wanted"""
8913,"""",Pet Sematary,"""","""Pet Sematary"""
8914,"""",Deep Blue Sea,"""","""Deep Blue Sea"""
8915,"""",Amelia,"""","""Amelia"""
8916,"""",Antz,"""","""Antz"""
8920,"""",Garfield,"""","""Garfield"""
8922,"""",Jeepers Creepers,"""","""Jeepers Creepers"""
8923,"""",Green Street Hooligans,"""","""Green Street Hooligans"""
8927,"""",Involuntary,"""","""Involuntary"""
8938,"""",Tokyo!,"""","""Tokyo!"""
8940,"""",Tyson,"""","""Tyson"""
8942,"""",Wendy and Lucy,"""","""Wendy and Lucy"""
8944,"""",What Just Happened,"""","""What Just Happened"""
8952,"""",I Love You Phillip Morris,"""","""I Love You Phillip Morris"""
8953,"""",Steamboy,"""","""Steamboy"""
8960,"""",Hancock,"""","""Hancock"""
8961,"""",Bad Boys II,"""","""Bad Boys II"""
8963,"""",Crimson Tide,"""","""Crimson Tide"""
8966,"""",Twilight,"""","""Twilight"""
8967,"""",The Tree of Life,"""","""The Tree of Life"""
8968,"""",Boogeyman,"""","""Boogeyman"""
8970,"""",The Out-of-Towners,"""","""The Out-of-Towners"""
8973,"""",Lord of Illusions,"""","""Lord of Illusions"""
8974,"""",The War of the Worlds,"""","""The War of the Worlds"""
8975,"""",The Marine,"""","""The Marine"""
8976,"""",A Lot Like Love,"""","""A Lot Like Love"""
8978,"""",Assault on Precinct 13,"""","""Assault on Precinct 13"""
8981,"""",Dear Frankie,"""","""Dear Frankie"""
8982,"""",The Protector,"""","""The Protector"""
8984,"""",Disclosure,"""","""Disclosure"""
8986,"""",Milk Money,"""","""Milk Money"""
8987,"""",The River Wild,"""","""The River Wild"""
8989,"""",Harry and the Hendersons,"""","""Harry and the Hendersons"""
8992,"""",The Sure Thing,"""","""The Sure Thing"""
8996,"""",Europa Europa,"""","""Europa Europa"""
8998,"""",Friends with Money,"""","""Friends with Money"""
8999,"""",Derailed,"""","""Derailed"""
9003,"""",Hellraiser,"""","""Hellraiser"""
9005,"""",The Ice Harvest,"""","""The Ice Harvest"""
9007,"""",Just Like Heaven,"""","""Just Like Heaven"""
9008,"""",The Insider,"""","""The Insider"""
9009,"""",Dark Water,"""","""Dark Water"""
